DATE,AMES119PCPI
1969-01-01,3417
1970-01-01,3637
1971-01-01,3841
1972-01-01,4224
1973-01-01,5010
1974-01-01,5281
1975-01-01,5875
1976-01-01,6241
1977-01-01,6637
1978-01-01,7924
1979-01-01,8581
1980-01-01,9330
1981-01-01,10264
1982-01-01,10897
1983-01-01,11389
1984-01-01,12453
1985-01-01,13141
1986-01-01,13740
1987-01-01,14574
1988-01-01,14952
1989-01-01,16469
1990-01-01,17115
1991-01-01,17844
1992-01-01,18790
1993-01-01,19081
1994-01-01,20746
1995-01-01,21543
1996-01-01,23024
1997-01-01,24092
1998-01-01,25139
1999-01-01,25725
2000-01-01,26936
2001-01-01,27526
2002-01-01,28160
2003-01-01,29177
2004-01-01,30586
2005-01-01,31415
2006-01-01,33337
2007-01-01,34819
2008-01-01,36585
2009-01-01,34438
2010-01-01,34117
2011-01-01,36497
2012-01-01,40384
2013-01-01,38148
2014-01-01,39138
2015-01-01,40064
2016-01-01,40440
2017-01-01,41321
2018-01-01,43519
